Label,Action,Action Paramater X,Action Paramater Y,Action Paramater Z,Agent Position X,Agent Position Y,Agent Position Z,Ball Position X,Ball Position Y,Ball Position Z,Teammate1 Position X,Teammate1 Position Y,Teammate1 Position Z,Teammat2 Position X,Teammat2 Position Y,Teammat2 Position Z,Opponent1 Position X,Opponent1 Position Y,Opponent1 Position Z,Opponent2 Position X,Opponent2 Position Y,Opponent2 Position Z,Opponent3 Position X,Opponent3 Position Y,Opponent3 Position Z,Ball Possessed,Team With Ball,Reward
GoToBall,GoToBall,-0.1879807,1.232067,-0.4699458,3.064168,0.17279,-5.397491,2.984836E-08,0.72,2.858843E-08,17.50241,0.1709428,-6.343266,-4.865434,0.1718796,-5.863597,-7.738205,0.1833319,25.85911,15.84012,0.1833319,22.50105,5.88398,0.1833319,7.942996,False,None,0
Kick,Kick,-13.34645,1,10.99673,0.1745732,0.182872,-0.2355095,-0.7338864,1.182872,1.020357,15.38668,0.1808651,-1.263039,-9.253573,0.1827847,-0.2801948,-5.011721,0.1833319,28.429,11.68221,0.1833319,27.41777,0.7828583,0.1833319,3.689046,False,None,0
Move,Move,-18.42187,-1.102067E-06,10.24481,-4.865434,0.1718796,-5.863597,2.984836E-08,0.72,2.858843E-08,3.064168,0.17279,-5.397491,17.50241,0.1709428,-6.343266,-7.738205,0.1833319,25.85911,15.84012,0.1833319,22.50105,5.88398,0.1833319,7.942996,False,None,0
GoToBall2,GoToBall,-22.18142,1.428946,18.70382,-21.38686,0.1833319,17.7778,-22.06006,0.7199984,18.73646,-7.291254,0.1833319,11.93579,1.507632,0.1833319,17.37733,-14.44167,0.1833319,23.95203,11.18984,0.1833319,28,-9.100523,0.1833319,7.345721,False,None,0
Kick2,Kick,-4.13552,1,23.02733,-21.74255,0.1833319,18.29031,-22.5781,1.183332,19.59582,-7.894282,0.1833319,13.02616,0.8464009,0.1833319,18.43308,-15.46958,0.1833319,23.87657,11.18984,0.1833319,28,-9.123378,0.1833319,8.491891,False,None,0
Move2,Move,-2.443719,-2.603453E-06,22.83935,1.507632,0.1833319,17.37733,-22.06006,0.7199984,18.73646,-7.291254,0.1833319,11.93579,-21.38686,0.1833319,17.7778,-14.44167,0.1833319,23.95203,11.18984,0.1833319,28,-9.100523,0.1833319,7.345721,False,None,0
Move3,Move,-5.827326,-3.791117E-06,32.8022,-4.02698,0.1833319,24.27309,-5.283693,1.183332,25.18038,-11.27713,0.1833319,20.7713,-20.93916,0.1833319,20.17786,-20.26232,0.1833319,23.30688,10.84136,0.1833319,28.01408,-11.71227,0.1833319,16.57872,True,purpleAgent,0
Kick3,Kick,3.195629,1,54.79564,-7.583848,0.1833319,31.59851,-7.224276,1.183332,33.10622,-10.28425,0.1833319,31.0448,-14.15153,0.1833319,27.62276,-17.17683,0.1833319,27.74808,1.039468,0.1833319,31.11864,-9.501419,0.1833319,27.9809,False,None,0
GoToBall3,GoToBall,0,1.606323,-0.2819693,3.987344,0.1612763,-11.29248,0,0.9438325,0,14.61633,0.1612754,-11.29292,-4.49834,0.1612768,-11.2922,-5.897535,0.1833319,22.80758,17.59485,0.1833319,20.42609,11.54238,0.1833319,8.547657,False,None,0
Kick4,Kick,-14.6623,1,10.80874,0.1822892,0.1827948,-0.2749932,-0.6270781,1.182795,1.046909,9.400051,0.1833319,1.166214,-11.19995,0.1833319,0.0577344,-4.210155,0.1833319,28,11.18984,0.1833319,28,1.158841,0.1833319,2.656799,False,None,0
Move4,Move,-17.85793,-1.124476E-06,10.43279,-4.49834,0.1612768,-11.2922,0,0.9438325,0,3.987344,0.1612763,-11.29248,14.61633,0.1612754,-11.29292,-5.897535,0.1833319,22.80758,17.59485,0.1833319,20.42609,11.54238,0.1833319,8.547657,False,None,0
Kick5,Kick,-6.767215,1,35.05793,-24.07076,0.1833319,19.93364,-24.16218,1.183332,21.48094,-8.675281,0.1833319,14.14203,-4.162874,0.1833319,25.44783,-4.242532,0.1833319,27.97937,11.18984,0.1833319,28,-11.83593,0.1833319,13.98664,False,None,0
Move5,Move,-2.255738,-3.342941E-06,29.04263,-4.038242,0.1833319,24.93493,-24.38949,1.183332,21.20121,-8.325095,0.1833319,13.62323,-24.11279,0.1833319,19.67611,-4.331629,0.1833319,27.91569,11.18984,0.1833319,28,-11.38214,0.1833319,13.55619,True,purpleAgent,0
Move6,Move,-3.007651,1,35.62186,-4.133406,0.1833319,27.65619,-10.56479,0.7199962,34.2682,-11.37322,0.1833319,19.00666,-22.67787,0.1833319,22.99247,-5.000446,0.1833319,30.00032,11.18984,0.1833319,28,-14.94863,0.1833319,18.08032,False,None,0
GoToBall4,GoToBall,2.255737,1.431039,46.52459,1.078032,0.1833319,44.77666,2.233724,0.7199947,46.41355,-9.684169,0.1833319,38.73761,-17.92487,0.1833319,42.90455,-3.44078,0.1833319,43.41195,7.094007,0.1833319,34.96686,-10.57093,0.1833319,34.88316,False,None,0
Kick6,Kick,0.5639343,1,55.35957,2.030432,0.1833319,46.12628,2.921514,1.183332,47.39454,-8.963426,0.1833319,41.11106,-17.11533,0.1833319,45.24838,-2.006095,0.1833319,45.43202,6.894789,0.1833319,35.48,-9.262252,0.1833319,36.99563,False,None,0

