Label,Action,Action Parameter X,Action Parameter Y,Action Parameter Z,Agent Position X,Agent Position Y,Agent Position Z,Ball Position X,Ball Position Y,Ball Position Z,Teammate1 Position X,Teammate1 Position Y,Teammate1 Position Z,Teammate2 Position X,Teammate2 Position Y,Teammate2 Position Z,Opponent1 Position X,Opponent1 Position Y,Opponent1 Position Z,Opponent2 Position X,Opponent2 Position Y,Opponent2 Position Z,Opponent3 Position X,Opponent3 Position Y,Opponent3 Position Z,Ball Possessed,Team With Ball,Reward
Move,Move,-2.349729,-7.659359E-07,7.425137,3.982175,0.1613049,-11.27784,0,0.72,1.103682E-07,14.60918,0.1613024,-11.27914,-4.495107,0.1613065,-11.27701,-5.892736,0.1833319,22.82235,17.58482,0.1833319,20.43795,11.52753,0.1833319,8.543095,False,None,0
Move2,Move,6.109293,-1.617468E-06,14.56831,-4.495107,0.1613065,-11.27701,0,0.72,1.103682E-07,3.982175,0.1613049,-11.27784,14.60918,0.1613024,-11.27914,-5.892736,0.1833319,22.82235,17.58482,0.1833319,20.43795,11.52753,0.1833319,8.543095,False,None,0
Move3,Move,-4.04153,-1.931191E-06,17.20001,14.60918,0.1613024,-11.27914,0,0.72,1.103682E-07,3.982175,0.1613049,-11.27784,-4.495107,0.1613065,-11.27701,-5.892736,0.1833319,22.82235,17.58482,0.1833319,20.43795,11.52753,0.1833319,8.543095,False,None,0
Move4,Move,-24.53116,1,14.00438,-1.755744,0.1833319,7.426008,4.576663,1.183332,8.804317,1.795684,0.1833319,9.607635,4.142369,0.1833319,7.316403,-4.210155,0.1833319,28,11.18984,0.1833319,28,-1.095498,0.1833319,0.7381238,True,purpleAgent,0
Kick,Kick,0.4699465,1,55.54754,-5.529037,0.1833319,44.31158,-6.904222,1.183332,45.02668,-15.41921,0.1833319,32.97156,1.836165,0.1833319,43.81059,-4.908162,0.1833319,35.32088,-2.736906,0.1833319,42.48828,1.633116,0.1833319,31.13293,False,None,0
Move5,Move,0.4699468,-4.306517E-06,37.12569,2.77291,0.1833319,4.051974,3.39601,1.183332,5.471215,0.7292509,0.1833319,6.285099,4.392301,0.1833319,6.504264,-4.210155,0.1833319,28,11.18984,0.1833319,28,-1.588309,0.1833319,1.107746,True,purpleAgent,0
Kick2,Kick,0.09399033,1,55.9235,0.4699468,0.1833319,37.12569,0.2152069,1.183332,38.65462,-26.22337,0.1833319,15.01563,-23.95835,0.1833319,13.95845,-0.469896,0.1833319,31.40499,0.3988674,0.1833319,34.07048,-3.962897,0.1833319,24.44611,False,None,0
Move6,Move,6.109293,-5.180459E-06,44.45685,4.390411,0.1833319,13.43808,4.16548,1.183332,14.97167,-6.656175,0.1833319,8.360172,-0.8629624,0.1833319,16.11366,-4.122449,0.1833319,27.92415,11.13436,0.1833319,27.89823,-0.1955967,0.1833319,3.008801,True,purpleAgent,0
Kick3,Kick,-3.665571,1,55.9235,6.109293,0.1833319,44.45685,6.265343,1.183332,45.99897,-24.60555,0.1833319,18.40944,-24.53116,0.1833319,14.00438,5.599722,0.1833319,38.29219,4.818901,0.1833319,35.91754,0.824034,0.1833319,25.71156,False,None,0
Move7,Move,-0.8459032,-3.320533E-06,28.85466,1.888912,0.1833319,14.74512,-2.2519,1.183332,10.49228,-2.229994,0.1833319,8.942438,-2.885023,0.1833319,15.85314,-3.31999,0.1833319,22.61009,11.18984,0.1833319,28,-5.004968,0.1833319,7.719296,True,purpleAgent,0
Move8,Move,-0.6579223,-3.746299E-06,32.42624,-2.229994,0.1833319,8.942438,-2.2519,1.183332,10.49228,-2.885023,0.1833319,15.85314,1.888912,0.1833319,14.74512,-3.31999,0.1833319,22.61009,11.18984,0.1833319,28,-5.004968,0.1833319,7.719296,True,purpleAgent,0
Kick4,Kick,3.10164,1,55.9235,-0.7274671,0.1833319,32.45612,-0.8891358,1.183332,33.99767,-7.725377,0.1833319,36.03248,-3.685389,0.1833319,38.8826,1.919979,0.1833319,32.65344,-0.4079883,0.1833319,27.62591,-4.754741,0.1833319,19.80118,False,None,0

