Label,Action,Action Paramater X,Action Paramater Y,Action Paramater Z,Agent Position X,Agent Position Y,Agent Position Z,Ball Position X,Ball Position Y,Ball Position Z,Teammate1 Position X,Teammate1 Position Y,Teammate1 Position Z,Teammat2 Position X,Teammat2 Position Y,Teammat2 Position Z,Opponent1 Position X,Opponent1 Position Y,Opponent1 Position Z,Opponent2 Position X,Opponent2 Position Y,Opponent2 Position Z,Opponent3 Position X,Opponent3 Position Y,Opponent3 Position Z,Ball Possessed,Team With Ball,Reward
Past Move1,Move,11.21403,3.95792E-07,-2.320144,13.91685,0.1639419,-9.927708,-1.485306E-08,0.72,8.80875E-08,3.476595,0.1641015,-9.845996,-4.210021,0.1642184,-9.786148,-5.423435,0.1833319,24.26649,16.6043,0.1833319,21.59741,10.07607,0.1833319,8.096972,False,None,0
Past Move2,Move,-8.275182,3.589144E-07,-2.010792,-4.210021,0.1642184,-9.786148,-1.485306E-08,0.72,8.80875E-08,3.476595,0.1641015,-9.845996,13.91685,0.1639419,-9.927708,-5.423435,0.1833319,24.26649,16.6043,0.1833319,21.59741,10.07607,0.1833319,8.096972,False,None,0
Past Move3,Move,0.5413673,-6.517914E-08,1.546763,3.476595,0.1641015,-9.845996,-1.485306E-08,0.72,8.80875E-08,13.91685,0.1639419,-9.927708,-4.210021,0.1642184,-9.786148,-5.423435,0.1833319,24.26649,16.6043,0.1833319,21.59741,10.07607,0.1833319,8.096972,False,None,0
Past Move4,Move,11.67806,1,1.85612,11.73562,0.1754615,-4.029653,-1.485306E-08,0.72,8.80875E-08,2.0163,0.1757714,-3.871013,-5.613077,0.1741606,-4.695731,-4.210155,0.1833319,28,12.48986,0.1833319,26.46273,4.376858,0.1833319,6.006004,False,None,0
Past Move5,Move,1.160073,1.192093E-07,1.421085E-14,3.622631,0.1632937,-10.25958,0,0.72,1.103682E-07,14.11413,0.1631768,-10.31944,-4.279849,0.1633729,-10.21902,-5.558991,0.1833319,23.84936,16.88753,0.1833319,21.2625,10.49532,0.1833319,8.225833,False,None,0
Past Move6,Move,-10.90468,8.383246E-07,-6.032377,-4.279849,0.1633729,-10.21902,0,0.72,1.103682E-07,3.622631,0.1632937,-10.25958,14.11413,0.1631768,-10.31944,-5.558991,0.1833319,23.84936,16.88753,0.1833319,21.2625,10.49532,0.1833319,8.225833,False,None,0
Move,Move,-3.170863,5.986195E-07,-4.021585,-4.197803,0.1642596,-9.765056,0,0.72,1.103682E-07,3.468885,0.1641441,-9.824162,13.90458,0.1639804,-9.907985,-5.416278,0.1833319,24.28851,16.58935,0.1833319,21.61509,10.05394,0.1833319,8.090171,False,None,0
Move2,Move,0.6960443,1,0.7733813,-3.542306,0.1719391,-5.833121,0,0.72,1.103682E-07,2.316945,0.171672,-5.969907,12.3395,0.1712053,-6.208853,-4.356182,0.1833319,27.55065,13.9738,0.1833319,24.70798,6.200869,0.1833319,6.907546,False,None,0
Move3,Move,-11.05936,-2.923201E-06,25.52159,-5.153089,0.1833319,15.17522,-12.85556,1.183332,6.973091,2.350954,0.1833319,22.83969,-12.22872,0.1833319,8.390684,-4.210155,0.1833319,28,11.18984,0.1833319,28,-9.79751,0.1833319,8.970576,True,purpleAgent,0
Move4,Move,-17.55576,-1.669359E-06,15.0036,-12.22872,0.1833319,8.390684,-12.85556,1.183332,6.973091,-5.153089,0.1833319,15.17522,2.350954,0.1833319,22.83969,-4.210155,0.1833319,28,11.18984,0.1833319,28,-9.79751,0.1833319,8.970576,True,purpleAgent,0
Kick,Kick,-14.30756,1,30.16188,-19.01248,0.1833319,15.92842,-18.6678,1.183332,17.43961,-11.99216,0.1833319,21.09618,6.721349,0.1833319,41.1788,-4.455835,0.1833319,27.82971,11.18984,0.1833319,28,-17.451,0.1833319,13.97635,False,None,0
Move5,Move,-11.52339,-3.992654E-06,34.49281,-11.96384,0.1833319,20.86161,-18.7738,1.183332,17.23942,6.632424,0.1833319,40.89619,-19.06576,0.1833319,15.71716,-4.398787,0.1833319,27.86887,11.18984,0.1833319,28,-17.41095,0.1833319,13.84361,True,purpleAgent,0
Kick2,Kick,-1.469424,1,55.3741,-12.37602,0.1833319,36.79335,-12.09857,1.183332,38.31832,2.082824,0.1833319,43.77075,-18.46819,0.1833319,34.46191,-12.32176,0.1833319,34.29407,11.18984,0.1833319,28,-16.95716,0.1833319,27.65094,False,None,0
Move6,Move,16.47303,-6.552226E-07,6.496407,12.46664,0.1698119,-6.922253,-2.87897E-08,0.72,2.483893E-08,2.361425,0.1702472,-6.699367,-3.916131,0.1706448,-6.495807,-4.466484,0.1833319,27.21123,14.44815,0.1833319,24.14706,6.884265,0.1833319,7.116222,False,None,0
Move7,Move,-0.3866903,-1.484971E-06,13.45684,-0.1725588,0.1832994,-0.01665652,-1.113351,1.183299,1.215175,12.23704,0.1833319,1.331321,-5.601009,0.1833319,2.769475,-4.210155,0.1833319,28,11.18984,0.1833319,28,0.9306708,0.1833319,2.225419,True,purpleAgent,0

